context_en,questions_en,answers_en,answer_start,answer_end
"Windows 8 offers heavy integration with online services from Microsoft and others. The user can now log into Windows with a Microsoft account, which can be used to access services and synchronize applications and settings between devices. Windows 8 also ships with a client app for Microsoft's SkyDrive cloud storage service, which allows apps to save files directly to SkyDrive. A SkyDrive client for desktop and file explorer is not included with Windows 8, and must be downloaded separately. Bundled multimedia apps are provided under the Xbox brand for use with the Xbox 360 console, including Xbox Music, Xbox Video, and Xbox SmartGlass Companion. Games can integrate into an Xbox Live Hub app, which also allows users to view their profile and gamerscore. Other bundled apps offer the ability to link Flickr and Facebook. Due to changes to the Facebook Connect service, Facebook support is disabled in all bundled apps effective June 8, 2015.",When did Facebook support stop?,"June 8, 2015",935,947
"At the eastern end of the Lady Chapel is a memorial chapel to RAF airmen who died in the Second World War. It includes a memorial window to the Battle of Britain, which replaces an earlier Tudor stained glass window that was destroyed in the war.",The RAF Airmen's Memorial Chapel has a window for?,battle of britain,144,161
"At the end of November, Chopin returned to Paris. He passed the winter in constant illness, but occasionally gave lessons and was watched by friends, including Delacroix and Franchomme. Sometimes he played, or accompanied, the singing of Delfina Potaca for his friends. During the summer of 1849, his friends found him an apartment in Chaillot, across from the city centre, the rent for which was secretly subsidized by an admirer, Princess Obreskoff. Here in June 1849 he was visited by Jenny Lind.",Who paid for Chopin's apartment in Cholot?,princess obreskoff,432,450
"In 1836, at a party hosted by Marie d'Ault, Chopin met the French writer George Sand (born [Amantine] Aurore [Lucile] Dupin). Short (five feet, or 152 cm), dark, big-eyed, and a cigar smoker, she initially repulsed Chopin, who commented, ""What an unattractive person La Sand is. Is she really a woman."" As early as 1837, Maria Wodzińska's mother had made it clear to Chopin in correspondence that the marriage with her daughter was unlikely to proceed. It is believed that she was influenced by his poor health and possibly also by rumors about him having affairs with men and women like Sand. Chopin eventually placed the letters from Maria and her mother in a package on which he wrote, in Polish, ""My Tragedy"". Sand, in a letter to Grzymała of June 1838, acknowledged strong feelings for the composer and argued for leaving the current relationship to begin an affair with Chopin; he asked Grzymała to assess Chopin's relationship with Maria Wodzińska. Without realizing that the matter, at least from Maria's side, was over.",What place did Frederick hold in the place in which he kept Maria and her mother's people concerned about the impossible marriage?,my tragedy,704,714
"Between 1949 and the 1980s, telephone communications in Greece were a state monopoly by the Hellenic Telecommunications Organization, known by its acronym, OTT. Despite the liberalization of telephone communications in the country in the 1980s, OTE still dominates the Greek market in its region and has emerged as one of the largest telecommunications companies in Southeast Europe. Since 2011, the company's major shareholder is Deutsche Telekom with a 40% stake, while the Greek state holds 10% of the company's shares. OTA owns several subsidiaries in the Balkans, including Cosmo, Greece's top mobile telecommunications provider, Cosmo Romania and Albanian Mobile Communications.",What was the Hellenic Telecommunications Organization known as?,oat,13,16
"In August 2008, West planned to open 10 Fatburger restaurants in the Chicago area; the first was set to open in Orland Park in September 2008. The second in January 2009, while the third location has not yet been revealed, although the process is being finalized. His company, KW Foods LLC, purchased the rights to the chain in Chicago. Eventually, in 2009, only two locations actually opened. In February 2011, West closed the Fatburger located in Orland Park. Later that year, the remaining Beverly location was also closed.",Has the restaurant chain aspired to skins in its native Chicago?,Fatburger,40,49
"In 1996, Billboard created a new chart called the Adult Top 40, which reflects programming on radio stations that exists somewhere between ""adult contemporary"" music and ""pop"" music. Although they are sometimes mistaken for one another, the Adult Contemporary chart and the Adult Top 40 chart are separate charts, and songs reaching one chart may not reach the other. Additionally, Hot AC is another subgenre of radio programming that is distinct from the Hot Adult Contemporary track chart as it exists today despite the obvious similarity in name.",Adult Top 40 represented a midpoint between the two radio formats?,"""Adult contemporary"" music and ""pop"" music",146,188
"The feminism and female empowerment themes on Beyoncé's second solo album B'day were inspired by her role in Dreamgirls and singer Josephine Baker. Beyoncé paid tribute to Baker by executing a turban with a fake banana on top of her head while wearing Baker's trademark mini-hula skirt. I Am Beyoncé's third solo album. Sasha Fierce was inspired by Jay Z and especially by Etta James, whose ""courage"" inspired Beyoncé to explore other musical styles and genres. His fourth solo album, 4, was inspired by 1990s R&B, Earth, Wind & Fire, Halving, Lionel Richie, Teena Marie, with additional influences by Fela Kuti, The Jackson 5, New Edition, Adele, Florence and the Machine, and Prince. Were.",What singer inspired Beyoncé's B'Day album?,Josephine Baker,7,22
"On September 30, 1987, Foster filed an application to patent his invented game with the United States Patent and Trademark Office. The patent application covered the rules of the game, specifically detailing the goalposts and rebound netting and their effect on gameplay. Foster's application was granted on March 27, 1990. The patent expired on September 30, 2007.",When did the United States Patent and Trademark Office grant Foster's patent?,"March 27, 1990",308,322
"In 1975, the first practical solar boat was built in England. By 1995, passenger boats incorporating PV panels began to appear and are now used extensively. In 1996, Kenichi Horii made the first solar-powered crossing of the Pacific Ocean, and the Sun 21 catamaran made the first solar-powered crossing of the Atlantic Ocean in the winter of 2006–2007. The plan was to circumnavigate the world in 2010.",In which year was the first practical solar boat built?,1975,3,7
